iter	Passed	Remaining
0	0	794
1	1	664
2	1	641
3	2	668
4	3	674
5	3	660
6	4	644
7	5	643
8	5	650
9	6	649
10	7	656
11	7	655
12	8	649
13	9	647
14	9	638
15	10	632
16	10	628
17	11	626
18	11	617
19	12	615
20	13	612
21	13	609
22	14	610
23	14	609
24	15	609
25	16	609
26	16	604
27	17	602
28	17	599
29	18	597
30	19	595
31	19	596
32	20	595
33	20	596
34	21	596
35	22	598
36	22	597
37	23	595
38	24	591
39	24	589
40	25	589
41	25	587
42	26	586
43	26	585
44	27	586
45	28	589
46	28	586
47	29	586
48	30	584
49	30	583
50	31	581
51	31	579
52	32	576
53	32	576
54	33	578
55	34	581
56	35	580
57	35	580
58	36	579
59	36	577
60	37	574
61	37	572
62	38	572
63	39	571
64	39	570
65	40	569
66	40	569
67	41	569
68	42	567
69	42	565
70	43	565
71	43	564
72	44	564
73	45	566
74	46	567
75	47	573
76	47	574
77	48	574
78	49	573
79	49	572
80	50	570
81	50	568
82	51	564
83	51	562
84	52	561
85	52	560
86	53	562
87	54	562
88	54	560
89	55	559
90	55	557
91	56	556
92	56	555
93	57	554
94	58	552
95	58	553
96	59	554
97	60	555
98	60	554
99	61	554
100	62	553
101	62	552
102	63	551
103	63	551
104	64	550
105	65	551
106	66	551
107	66	550
108	67	550
109	67	548
110	68	548
111	69	547
112	69	547
113	70	547
114	71	547
115	71	548
116	72	547
117	73	548
118	73	547
119	74	546
120	75	545
121	75	543
122	76	542
123	76	541
124	77	540
125	78	541
126	78	539
127	79	538
128	79	537
129	80	536
130	80	534
131	81	533
132	81	532
133	82	532
134	82	531
135	83	530
136	84	531
137	84	530
138	85	530
139	86	529
140	86	528
141	87	526
142	87	524
143	88	523
144	89	524
145	89	525
146	90	527
147	91	526
148	92	526
149	92	525
150	93	524
151	93	523
152	94	522
153	94	521
154	95	520
155	96	520
156	96	520
157	97	519
158	98	518
159	98	517
160	98	515
161	99	514
162	100	513
163	100	512
164	101	511
165	101	511
166	102	512
167	103	511
168	103	510
169	104	510
170	105	510
171	105	509
172	106	508
173	106	507
174	107	507
175	109	510
176	109	510
177	110	509
178	110	508
179	111	507
180	112	506
181	112	505
182	113	504
183	113	504
184	114	503
185	115	503
186	115	503
187	116	502
188	116	501
189	117	500
190	117	499
191	118	498
192	118	497
193	119	496
194	119	495
195	120	495
196	121	496
197	122	495
198	122	493
199	123	492
200	123	491
201	124	490
202	124	489
203	125	488
204	125	488
205	126	487
206	127	487
207	128	487
208	128	486
209	129	485
210	129	484
211	130	483
212	130	483
213	131	482
214	131	481
215	132	481
216	133	482
217	134	481
218	134	480
219	135	479
220	135	478
221	136	478
222	136	477
223	137	476
224	138	475
225	138	475
226	139	475
227	140	475
228	140	474
229	141	473
230	142	472
231	142	471
232	143	471
233	143	470
234	144	470
235	145	469
236	146	470
237	146	469
238	147	468
239	147	467
240	148	466
241	148	465
242	149	464
243	149	463
244	150	462
245	150	462
246	151	462
247	152	461
248	152	461
249	153	460
250	153	459
251	154	458
252	154	457
253	155	456
254	156	455
255	156	455
256	157	454
257	157	453
258	158	453
259	159	452
260	159	452
261	160	451
262	160	450
263	161	450
264	162	449
265	162	448
266	163	448
267	164	448
268	164	447
269	165	446
270	165	446
271	166	445
272	166	444
273	167	443
274	167	442
275	168	441
276	169	441
277	169	440
278	170	440
279	171	440
280	171	439
281	172	438
282	172	437
283	173	436
284	173	436
285	174	435
286	175	434
287	175	434
288	176	434
289	177	433
290	177	432
291	178	431
292	178	431
293	179	430
294	179	429
295	180	429
296	181	428
297	181	428
298	182	428
299	183	427
300	183	426
301	184	425
302	184	425
303	185	424
304	185	423
305	186	423
306	187	423
307	188	422
308	188	422
309	189	421
310	190	421
311	190	420
312	191	419
313	191	418
314	192	417
315	192	417
