iter	Passed	Remaining
0	0	60
1	1	63
2	1	60
3	2	55
4	2	56
5	3	55
6	4	54
7	4	53
8	5	54
9	5	53
10	6	52
11	6	51
12	7	50
13	7	49
14	8	48
15	8	46
16	9	46
17	9	45
18	10	44
19	10	43
20	11	42
21	11	41
22	12	40
23	12	39
24	13	39
25	13	38
26	13	37
27	14	37
28	14	36
29	15	35
30	15	35
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	32
37	19	31
38	19	31
39	20	30
40	20	30
41	21	29
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	26	22
55	27	21
56	27	21
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	17
63	31	17
64	31	16
65	32	16
66	32	16
67	32	15
68	33	15
69	33	14
70	34	14
71	35	13
72	35	13
73	36	12
74	37	12
75	39	12
76	40	12
77	41	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	47	7
86	48	7
87	49	6
88	49	6
89	50	5
90	51	5
91	52	4
92	53	4
93	53	3
94	54	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
